Sampleid,X,Y
408,374,1
409,539,1
410,972,1
411,622,1
412,587,1
413,309,1
414,618,1
415,960,1
416,780,1
417,844,1
418,391,1
419,985,1
420,427,1
421,815,1
422,847,1
423,765,1
424,720,1
425,777,1
426,1017,0
427,648,1
428,192,1
429,346,1
430,107,1
431,677,1
432,310,1
433,881,1
434,68,1
435,782,1
436,232,1
437,181,1
438,670,1
439,944,1
440,385,1
441,929,1
442,742,1
443,569,1
444,162,1
445,507,1
446,987,1
447,939,1
448,293,1
449,163,1
450,723,1
451,235,1
452,609,1
453,782,1
454,518,1
455,922,1
456,951,1
457,2,1
458,351,1
459,588,1
460,239,1
461,890,1
462,534,1
463,53,1
464,250,1
465,589,1
466,197,1
467,931,1
468,954,1
469,751,1
470,497,1
471,539,1
472,981,1
473,807,1
474,311,1
475,341,1
476,403,1
477,206,1
478,859,1
479,844,1
480,73,1
481,422,1
482,280,1
483,216,1
484,792,1
485,526,1
486,314,1
487,318,1
488,435,1
489,940,1
490,693,1
491,701,1
492,663,1
493,1003,0
494,512,1
495,3,1
496,607,1
497,494,1
498,16,1
499,528,1
500,280,1
501,1012,0
502,676,1
503,154,1
504,361,1
505,316,1
506,760,1
507,355,1
508,870,1
509,690,1
510,770,1
511,593,1
512,809,1
513,29,1
514,899,1
515,34,1
516,85,1
517,939,1
518,80,1
519,716,1
520,466,1
521,508,1
522,530,1
523,63,1
524,932,1
525,82,1
526,167,1
527,350,1
528,670,1
529,460,1
530,62,1
531,546,1
532,653,1
533,918,1
534,828,1
535,285,1
536,318,1
537,264,1
538,620,1
539,325,1
540,117,1
541,324,1
542,712,1
543,714,1
544,183,1
545,735,1
546,681,1
547,245,1
548,706,1
549,373,1
550,58,1
551,89,1
552,669,1
553,995,1
554,1001,0
555,24,1
556,254,1
557,235,1
558,437,1
559,94,1
560,438,1
561,531,1
562,359,1
563,338,1
564,858,1
565,751,1
566,462,1
567,493,1
568,225,1
569,849,1
570,601,1
571,367,1
572,207,1
573,981,1
574,55,1
575,291,1
576,102,1
577,308,1
578,542,1
579,762,1
580,715,1
581,224,1
582,307,1
583,186,1
584,384,1
585,334,1
586,360,1
587,159,1
588,169,1
589,986,1
590,238,1
591,316,1
592,887,1
593,51,1
594,993,1
595,733,1
596,988,1
597,432,1
598,184,1
599,1007,0
600,53,1
601,585,1
602,511,1
603,342,1
604,687,1
605,383,1
606,957,1
607,723,1
608,503,1
609,103,1
610,258,1
611,246,1
612,27,1
613,707,1
614,462,1
615,317,1
616,779,1
617,540,1
618,353,1
619,447,1
620,28,1
621,332,1
622,516,1
623,78,1
624,62,1
625,747,1
626,510,1
627,651,1
628,542,1
629,1005,0
630,195,1
631,686,1
632,141,1
633,428,1
634,139,1
635,397,1
636,402,1
637,751,1
638,1019,0
639,254,1
640,355,1
641,790,1
642,37,1
643,464,1
644,150,1
645,405,1
646,330,1
647,376,1
648,1002,0
649,464,1
650,103,1
651,215,1
652,737,1
653,117,1
654,1006,0
655,344,1
656,23,1
657,494,1
658,57,1
659,870,1
660,656,1
661,880,1
662,453,1
663,492,1
664,572,1
665,283,1
666,266,1
667,94,1
668,723,1
669,440,1
670,743,1
671,341,1
672,952,1
673,27,1
674,973,1
675,806,1
676,34,1
677,634,1
678,397,1
679,98,1
680,551,1
681,498,1
682,1007,0
683,933,1
684,1000,1
685,482,1
686,52,1
687,577,1
688,382,1
689,423,1
690,510,1
691,177,1
692,446,1
693,36,1
694,134,1
695,976,1
696,1016,0
697,54,1
698,999,1
699,953,1
700,773,1
701,15,1
702,144,1
703,45,1
704,796,1
705,4,1
706,442,1
707,667,1
708,21,1
709,83,1
710,218,1
711,917,1
712,894,1
713,651,1
714,113,1
715,713,1
716,480,1
717,693,1
718,356,1
719,864,1
720,541,1
721,566,1
722,281,1
723,181,1
724,603,1
725,899,1
726,59,1
727,726,1
728,631,1
729,464,1
730,958,1
731,21,1
732,32,1
733,247,1
734,838,1
735,741,1
736,528,1
737,646,1
738,247,1
739,28,1
740,485,1
741,310,1
742,257,1
743,82,1
744,473,1
745,602,1
746,558,1
747,468,1
748,164,1
749,464,1
750,938,1
751,356,1
752,608,1
753,448,1
754,960,1
755,441,1
756,836,1
757,635,1
758,192,1
759,173,1
760,734,1
761,143,1
762,678,1
763,503,1
764,273,1
765,802,1
766,414,1
767,969,1
768,832,1
769,383,1
770,498,1
771,205,1
772,649,1
773,633,1
774,568,1
775,897,1
776,626,1
777,1007,0
778,46,1
779,837,1
780,881,1
781,531,1
782,497,1
783,590,1
784,269,1
785,893,1
786,3,1
787,590,1
788,597,1
789,2,1
790,812,1
791,971,1
792,450,1
793,1005,0
794,782,1
795,39,1
796,745,1
797,846,1
798,395,1
799,971,1
800,351,1
801,191,1
802,648,1
803,893,1
804,685,1
805,797,1
806,23,1
807,436,1
808,28,1
809,761,1
810,60,1
811,816,1
812,163,1
813,682,1
814,649,1
815,959,1
816,1013,0
817,812,1
818,644,1
819,904,1
820,492,1
821,277,1
822,1008,0
823,967,1
824,929,1
825,969,1
826,972,1
827,116,1
828,1002,0
829,533,1
830,961,1
831,276,1
832,81,1
833,720,1
834,927,1
835,258,1
836,598,1
837,458,1
838,76,1
839,887,1
840,622,1
841,377,1
842,951,1
843,156,1
844,159,1
845,310,1
846,589,1
847,242,1
848,245,1
849,810,1
850,429,1
851,592,1
852,103,1
853,118,1
854,88,1
855,602,1
856,742,1
857,817,1
858,118,1
859,127,1
860,460,1
861,982,1
862,543,1
863,280,1
864,324,1
865,792,1
866,447,1
867,648,1
868,411,1
869,959,1
870,933,1
871,38,1
872,81,1
873,319,1
874,32,1
875,829,1
876,85,1
877,361,1
878,451,1
879,254,1
880,523,1
881,928,1
882,504,1
883,173,1
884,778,1
885,104,1
886,655,1
887,227,1
888,382,1
889,688,1
890,363,1
891,774,1
892,961,1
893,776,1
894,844,1
895,157,1
896,168,1
897,891,1
898,870,1
899,888,1
900,631,1
901,808,1
902,352,1
903,88,1
904,619,1
905,61,1
906,624,1
907,720,1
908,914,1
909,530,1
910,510,1
911,747,1
912,392,1
913,269,1
914,537,1
915,756,1
916,21,1
917,467,1
918,976,1
919,50,1
920,81,1
921,78,1
922,704,1
923,594,1
924,874,1
925,223,1
926,905,1
927,859,1
928,117,1
929,591,1
930,488,1
931,125,1
932,865,1
933,61,1
934,131,1
935,880,1
936,762,1
937,559,1
938,574,1
939,71,1
940,70,1
941,77,1
942,976,1
943,616,1
944,687,1
945,591,1
946,323,1
947,648,1
948,911,1
949,678,1
950,641,1
951,955,1
952,909,1
953,107,1
954,610,1
955,610,1
956,767,1
957,271,1
958,62,1
959,288,1
960,50,1
961,133,1
962,581,1
963,76,1
964,531,1
965,249,1
966,455,1
967,467,1
968,835,1
969,372,1
970,295,1
971,697,1
972,508,1
973,771,1
974,276,1
975,304,1
976,375,1
977,782,1
978,779,1
979,650,1
980,1005,0
981,150,1
982,133,1
983,302,1
984,84,1
985,604,1
986,651,1
987,575,1
988,13,1
989,766,1
990,700,1
991,814,1
992,977,1
993,631,1
994,275,1
995,44,1
996,193,1
997,875,1
998,668,1
999,314,1
1000,374,1
1001,796,1
1002,682,1
1003,988,1
1004,903,1
1005,384,1
1006,443,1
1007,956,1
1008,306,1
1009,967,1
1010,104,1
1011,477,1
1012,984,1
1013,849,1
1014,542,1
1015,680,1
1016,329,1
1017,930,1
1018,1022,0
1019,597,1
1020,427,1
1021,515,1
1022,379,1
1023,121,1
1024,528,1
1025,443,1
1026,139,1
1027,924,1
1028,135,1
1029,506,1
1030,643,1
1031,25,1
1032,39,1
1033,551,1
1034,738,1
1035,574,1
1036,954,1
1037,845,1
1038,808,1
1039,926,1
1040,673,1
1041,365,1
1042,739,1
1043,691,1
1044,689,1
1045,941,1
1046,417,1
1047,803,1
1048,769,1
1049,958,1
1050,559,1
1051,716,1
1052,321,1
1053,155,1
1054,1006,0
1055,28,1
1056,824,1
1057,754,1
1058,87,1
1059,505,1
1060,416,1
1061,615,1
1062,703,1
1063,930,1
1064,134,1
1065,645,1
1066,442,1
1067,124,1
1068,572,1
1069,100,1
1070,780,1
1071,639,1
1072,429,1
1073,702,1
1074,62,1
1075,47,1
1076,802,1
1077,268,1
1078,618,1
1079,890,1
1080,795,1
1081,942,1
1082,206,1
1083,790,1
1084,790,1
1085,10,1
1086,759,1
1087,528,1
1088,465,1
1089,659,1
1090,426,1
1091,11,1
1092,214,1
1093,417,1
1094,442,1
1095,939,1
1096,994,1
1097,119,1
1098,683,1
1099,312,1
1100,253,1
1101,688,1
1102,449,1
1103,133,1
1104,205,1
1105,422,1
1106,376,1
1107,822,1
1108,78,1
1109,1001,0
1110,474,1
1111,575,1
1112,847,1
1113,535,1
1114,937,1
1115,679,1
1116,992,1
1117,439,1
1118,531,1
1119,934,1
1120,356,1
1121,478,1
1122,1006,0
1123,169,1
1124,36,1
1125,28,1
1126,335,1
1127,581,1
1128,941,1
1129,755,1
1130,9,1
1131,550,1
1132,81,1
1133,385,1
1134,275,1
1135,343,1
1136,337,1
1137,19,1
1138,747,1
1139,178,1
1140,580,1
1141,350,1
1142,99,1
1143,215,1
1144,96,1
1145,876,1
1146,1011,0
1147,983,1
1148,304,1
1149,419,1
1150,879,1
1151,614,1
1152,321,1
1153,5,1
1154,880,1
1155,520,1
1156,109,1
1157,913,1
1158,475,1
1159,585,1
1160,49,1
1161,270,1
1162,106,1
1163,976,1
1164,642,1
1165,4,1
1166,669,1
1167,981,1
1168,745,1
1169,99,1
1170,334,1
1171,179,1
1172,516,1
1173,959,1
1174,472,1
1175,8,1
1176,939,1
1177,354,1
1178,7,1
1179,862,1
1180,61,1
1181,570,1
1182,763,1
1183,814,1
1184,210,1
1185,524,1
1186,1005,0
1187,237,1
1188,730,1
1189,709,1
1190,1001,0
1191,776,1
1192,902,1
1193,307,1
1194,903,1
1195,550,1
1196,277,1
1197,202,1
1198,610,1
1199,495,1
1200,194,1
1201,498,1
1202,753,1
1203,322,1
1204,57,1
1205,2,1
1206,10,1
1207,907,1
1208,428,1
1209,133,1
1210,676,1
1211,628,1
1212,242,1
1213,51,1
1214,661,1
1215,94,1
1216,848,1
1217,9,1
1218,868,1
1219,117,1
1220,657,1
1221,414,1
1222,124,1
1223,501,1
1224,969,1
1225,390,1
1226,660,1
1227,121,1
1228,349,1
1229,982,1
1230,35,1
1231,603,1
1232,926,1
1233,975,1
1234,947,1
1235,498,1
1236,936,1
1237,652,1
1238,43,1
1239,283,1
1240,389,1
1241,2,1
1242,907,1
1243,446,1
1244,422,1
1245,1022,0
1246,89,1
1247,307,1
1248,792,1
1249,665,1
1250,773,1
1251,883,1
1252,42,1
1253,247,1
1254,641,1
1255,581,1
1256,861,1
1257,395,1
1258,819,1
1259,339,1
1260,174,1
1261,248,1
1262,409,1
1263,181,1
1264,457,1
1265,931,1
1266,129,1
1267,546,1
1268,563,1
1269,357,1
1270,625,1
1271,204,1
1272,515,1
1273,990,1
1274,166,1
1275,466,1
1276,229,1
1277,789,1
1278,860,1
1279,335,1
1280,509,1
1281,899,1
1282,809,1
1283,269,1
1284,1022,0
1285,0,1
1286,505,1
1287,90,1
1288,51,1
1289,493,1
1290,931,1
1291,105,1
1292,50,1
1293,861,1
1294,434,1
1295,220,1
1296,1015,0
1297,70,1
1298,327,1
1299,685,1
1300,864,1
1301,893,1
1302,833,1
1303,954,1
1304,412,1
1305,309,1
1306,858,1
1307,371,1
1308,375,1
1309,232,1
1310,750,1
1311,337,1
1312,316,1
1313,384,1
1314,451,1
1315,497,1
1316,448,1
1317,450,1
1318,515,1
1319,501,1
1320,761,1
1321,518,1
1322,433,1
1323,956,1
1324,989,1
1325,937,1
1326,727,1
1327,722,1
1328,287,1
1329,573,1
1330,784,1
1331,156,1
1332,540,1
1333,196,1
1334,485,1
1335,141,1
1336,660,1
1337,329,1
1338,776,1
1339,352,1
1340,713,1
1341,304,1
1342,70,1
1343,817,1
1344,517,1
1345,34,1
1346,276,1
1347,815,1
1348,648,1
1349,350,1
1350,575,1
1351,709,1
1352,811,1
1353,788,1
1354,644,1
1355,308,1
1356,178,1
1357,941,1
1358,456,1
1359,86,1
1360,495,1
1361,388,1
1362,948,1
1363,276,1
1364,352,1
1365,337,1
1366,405,1
1367,906,1
1368,91,1
1369,731,1
1370,845,1
1371,690,1
1372,1016,0
1373,790,1
1374,551,1
1375,879,1
1376,138,1
1377,585,1
1378,914,1
1379,535,1
1380,932,1
1381,54,1
1382,434,1
1383,132,1
1384,314,1
1385,300,1
1386,774,1
1387,575,1
1388,793,1
1389,1,1
1390,708,1
1391,127,1
1392,746,1
1393,552,1
1394,379,1
1395,953,1
1396,121,1
1397,478,1
1398,992,1
1399,527,1
1400,1025,0
1401,582,1
1402,734,1
1403,836,1
1404,436,1
1405,62,1
1406,516,1
1407,737,1
1408,85,1
1409,821,1
1410,987,1
1411,642,1
1412,941,1
1413,677,1
1414,611,1
1415,598,1
1416,639,1
1417,572,1
1418,96,1
1419,731,1
1420,50,1
1421,585,1
1422,334,1
1423,918,1
1424,853,1
1425,240,1
1426,704,1
1427,619,1
1428,580,1
1429,353,1
1430,75,1
1431,543,1
1432,869,1
1433,717,1
1434,752,1
1435,676,1
1436,93,1
1437,964,1
1438,774,1
1439,344,1
1440,366,1
1441,269,1
1442,288,1
1443,688,1
1444,1,1
1445,774,1
1446,262,1
1447,151,1
1448,128,1
1449,4,1
1450,970,1
1451,963,1
1452,965,1
1453,81,1
1454,194,1
1455,894,1
1456,500,1
1457,945,1
1458,880,1
1459,142,1
1460,829,1
1461,165,1
1462,614,1
1463,946,1
1464,280,1
1465,694,1
1466,323,1
1467,734,1
1468,748,1
1469,840,1
1470,395,1
1471,218,1
1472,933,1
1473,1003,0
1474,752,1
1475,743,1
1476,909,1
1477,944,1
1478,725,1
1479,38,1
1480,555,1
1481,932,1
1482,488,1
1483,86,1
1484,858,1
1485,1023,0
1486,204,1
1487,638,1
1488,922,1
1489,196,1
1490,562,1
1491,402,1
1492,656,1
1493,502,1
1494,649,1
1495,739,1
1496,956,1
1497,586,1
1498,230,1
1499,435,1
1500,965,1
1501,224,1
1502,385,1
1503,444,1
1504,502,1
1505,579,1
1506,1003,0
1507,649,1
1508,213,1
1509,648,1
1510,277,1
1511,251,1
1512,485,1
1513,978,1
1514,40,1
1515,85,1
1516,540,1
1517,198,1
1518,852,1
1519,700,1
1520,212,1
1521,241,1
1522,544,1
1523,580,1
1524,781,1
1525,483,1
1526,741,1
1527,141,1
1528,838,1
1529,632,1
1530,1017,0
1531,814,1
1532,175,1
1533,920,1
1534,447,1
1535,447,1
1536,965,1
1537,339,1
1538,735,1
1539,69,1
1540,975,1
1541,680,1
1542,624,1
1543,723,1
1544,813,1
1545,178,1
1546,1008,0
1547,127,1
1548,111,1
1549,11,1
1550,116,1
1551,95,1
1552,1013,0
1553,396,1
1554,136,1
1555,842,1
1556,864,1
1557,124,1
1558,367,1
1559,534,1
1560,282,1
1561,950,1
1562,464,1
1563,33,1
1564,511,1
1565,186,1
1566,673,1
1567,443,1
1568,157,1
1569,207,1
1570,515,1
1571,944,1
1572,21,1
1573,226,1
1574,265,1
1575,262,1
1576,953,1
1577,1003,0
1578,693,1
1579,863,1
1580,66,1
1581,26,1
1582,59,1
1583,214,1
1584,321,1
1585,241,1
1586,496,1
1587,768,1
1588,615,1
1589,534,1
1590,559,1
1591,865,1
1592,470,1
1593,1024,0
1594,164,1
1595,818,1
1596,1014,0
1597,446,1
1598,368,1
1599,218,1
1600,526,1
1601,653,1
1602,843,1
1603,148,1
1604,338,1
1605,255,1
1606,237,1
1607,187,1
1608,880,1
1609,389,1
1610,266,1
1611,137,1
1612,177,1
1613,425,1
1614,846,1
1615,486,1
1616,545,1
1617,601,1
1618,926,1
1619,428,1
1620,570,1
1621,738,1
1622,4,1
1623,730,1
1624,704,1
1625,104,1
1626,187,1
1627,915,1
1628,703,1
1629,6,1
1630,741,1
1631,453,1
1632,688,1
1633,680,1
1634,355,1
1635,704,1
1636,428,1
1637,399,1
1638,572,1
1639,970,1
1640,180,1
1641,628,1
1642,333,1
1643,276,1
1644,908,1
1645,983,1
1646,140,1
1647,993,1
1648,243,1
1649,784,1
1650,332,1
1651,661,1
1652,1014,0
1653,952,1
1654,402,1
1655,650,1
1656,556,1
1657,398,1
1658,891,1
1659,507,1
1660,913,1
1661,244,1
1662,912,1
1663,963,1
1664,99,1
1665,569,1
1666,809,1
1667,603,1
1668,66,1
1669,776,1
1670,11,1
1671,514,1
1672,880,1
1673,132,1
1674,664,1
1675,948,1
1676,856,1
1677,969,1
1678,845,1
1679,636,1
1680,575,1
1681,35,1
1682,883,1
1683,228,1
1684,743,1
1685,824,1
1686,208,1
1687,883,1
1688,248,1
1689,187,1
1690,504,1
1691,130,1
1692,120,1
1693,180,1
1694,269,1
1695,932,1
1696,226,1
1697,10,1
1698,270,1
1699,450,1
1700,880,1
1701,44,1
1702,301,1
1703,796,1
1704,896,1
1705,102,1
1706,8,1
1707,560,1
1708,265,1
1709,167,1
1710,933,1
1711,813,1
1712,527,1
1713,134,1
1714,527,1
1715,770,1
1716,173,1
1717,211,1
1718,642,1
1719,516,1
1720,309,1
1721,948,1
1722,681,1
1723,889,1
1724,373,1
1725,642,1
1726,7,1
1727,658,1
1728,592,1
1729,858,1
1730,278,1
1731,771,1
1732,501,1
1733,969,1
1734,350,1
1735,988,1
1736,752,1
1737,599,1
1738,660,1
1739,1014,0
1740,186,1
1741,894,1
1742,44,1
1743,1003,0
1744,640,1
1745,101,1
1746,180,1
1747,1004,0
1748,439,1
1749,1020,0
1750,598,1
1751,756,1
1752,178,1
1753,854,1
1754,554,1
1755,154,1
1756,287,1
1757,250,1
1758,391,1
1759,903,1
1760,872,1
1761,341,1
1762,999,1
1763,392,1
1764,924,1
1765,614,1
1766,952,1
1767,625,1
1768,235,1
1769,810,1
1770,497,1
1771,640,1
1772,345,1
1773,745,1
1774,139,1
1775,159,1
1776,149,1
1777,242,1
1778,810,1
1779,583,1
1780,865,1
1781,765,1
1782,728,1
1783,494,1
1784,88,1
1785,895,1
1786,98,1
1787,95,1
1788,894,1
1789,396,1
1790,227,1
1791,56,1
1792,682,1
1793,129,1
1794,427,1
1795,405,1
1796,415,1
1797,431,1
1798,537,1
1799,378,1
1800,561,1
1801,7,1
1802,297,1
1803,466,1
1804,946,1
1805,277,1
1806,180,1
1807,544,1
1808,636,1
1809,578,1
1810,368,1
1811,305,1
1812,320,1
1813,444,1
1814,767,1
1815,745,1
1816,428,1
1817,384,1
1818,139,1
1819,435,1
1820,1000,1
1821,999,1
1822,989,1
1823,942,1
1824,588,1
1825,248,1
1826,481,1
1827,533,1
1828,1022,0
1829,21,1
1830,913,1
1831,499,1
1832,284,1
1833,596,1
1834,848,1
1835,90,1
1836,843,1
1837,433,1
1838,281,1
1839,182,1
1840,93,1
1841,524,1
1842,895,1
1843,459,1
1844,516,1
1845,544,1
1846,865,1
1847,525,1
1848,106,1
1849,670,1
1850,379,1
1851,289,1
1852,247,1
1853,252,1
1854,823,1
1855,820,1
1856,861,1
1857,956,1
1858,430,1
1859,364,1
1860,762,1
1861,898,1
1862,806,1
1863,812,1
1864,218,1
1865,643,1
1866,11,1
1867,403,1
1868,639,1
1869,79,1
1870,319,1
1871,45,1
1872,1024,0
1873,816,1
1874,609,1
1875,24,1
1876,876,1
1877,274,1
1878,417,1
1879,378,1
1880,192,1
1881,826,1
1882,100,1
1883,999,1
1884,115,1
1885,529,1
1886,487,1
1887,101,1
1888,607,1
1889,790,1
1890,345,1
1891,429,1
1892,202,1
1893,1024,0
1894,740,1
1895,264,1
1896,111,1
1897,350,1
1898,292,1
1899,561,1
1900,650,1
1901,765,1
1902,715,1
1903,996,1
1904,90,1
1905,958,1
1906,409,1
1907,102,1
1908,574,1
1909,410,1
1910,226,1
1911,461,1
1912,563,1
1913,5,1
1914,878,1
1915,746,1
1916,945,1
1917,291,1
1918,933,1
1919,806,1
1920,535,1
1921,599,1
1922,707,1
1923,592,1
1924,479,1
1925,10,1
1926,54,1
1927,983,1
1928,502,1
1929,452,1
1930,749,1
1931,57,1
1932,244,1
1933,101,1
1934,34,1
1935,541,1
1936,870,1
1937,960,1
1938,217,1
1939,54,1
1940,892,1
1941,399,1
1942,936,1
1943,436,1
1944,712,1
1945,567,1
1946,1002,0
1947,781,1
1948,791,1
1949,759,1
1950,175,1
1951,188,1
1952,793,1
1953,380,1
1954,725,1
1955,750,1
1956,697,1
1957,543,1
1958,50,1
1959,527,1
1960,903,1
1961,160,1
1962,855,1
1963,335,1
1964,756,1
1965,937,1
1966,825,1
1967,247,1
1968,198,1
1969,814,1
1970,545,1
1971,146,1
1972,929,1
1973,232,1
1974,900,1
1975,316,1
1976,282,1
1977,490,1
1978,341,1
1979,677,1
1980,803,1
1981,621,1
1982,914,1
1983,390,1
1984,391,1
1985,67,1
1986,836,1
1987,104,1
1988,269,1
1989,181,1
1990,562,1
1991,98,1
1992,94,1
1993,815,1
1994,844,1
1995,542,1
1996,842,1
1997,670,1
1998,897,1
1999,500,1
2000,939,1
2001,499,1
2002,270,1
2003,295,1
2004,219,1
2005,82,1
2006,542,1
2007,319,1
2008,2,1
2009,154,1
2010,19,1
2011,118,1
2012,524,1
2013,956,1
2014,228,1
2015,877,1
2016,64,1
2017,715,1
2018,578,1
2019,96,1
2020,244,1
2021,649,1
2022,480,1
2023,190,1
2024,350,1
2025,463,1
2026,443,1
2027,32,1
2028,811,1
2029,121,1
2030,541,1
2031,642,1
2032,102,1
2033,979,1
2034,1007,0
2035,960,1
2036,876,1
2037,23,1
2038,920,1
2039,96,1
2040,13,1
2041,543,1
2042,427,1
2043,872,1
2044,910,1
2045,965,1
2046,304,1
2047,386,1
2048,502,1
2049,564,1
2050,94,1
2051,358,1
2052,946,1
2053,488,1
2054,299,1
2055,801,1
2056,68,1
2057,189,1
2058,657,1
2059,656,1
2060,510,1
2061,487,1
2062,841,1
2063,795,1
2064,247,1
2065,252,1
2066,988,1
2067,334,1
2068,443,1
2069,625,1
2070,569,1
2071,659,1
2072,816,1
2073,28,1
2074,6,1
2075,183,1
2076,784,1
2077,504,1
2078,931,1
2079,416,1
2080,568,1
2081,751,1
2082,771,1
2083,814,1
2084,340,1
2085,385,1
2086,332,1
2087,557,1
2088,733,1
2089,177,1
2090,54,1
2091,508,1
2092,376,1
2093,938,1
2094,327,1
2095,928,1
2096,326,1
2097,45,1
2098,727,1
2099,429,1
2100,433,1
2101,521,1
2102,289,1
2103,358,1
2104,635,1
2105,792,1
2106,670,1
2107,978,1
2108,640,1
2109,296,1
2110,210,1
2111,668,1
2112,988,1
2113,783,1
2114,910,1
2115,276,1
2116,110,1
2117,224,1
2118,163,1
2119,516,1
2120,221,1
2121,117,1
2122,518,1
2123,494,1
2124,976,1
2125,902,1
2126,767,1
2127,40,1
2128,806,1
2129,724,1
